CementComponent,BlastFurnaceSlag,FlyAshComponent,WaterComponent,SuperplasticizerComponent,CoarseAggregateComponent,FineAggregateComponent,AgeInDays,Strength
525.0,0.0,0.0,186.0,0.0,1125.0,613.0,3,10.38
143.0,169.0,143.0,191.0,8.0,967.0,643.0,28,23.52
289.0,134.7,0.0,185.7,0.0,1075.0,795.3,28,36.96
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,39.05
157.0,236.0,0.0,192.0,0.0,935.4,781.2,90,74.19
350.0,0.0,0.0,203.0,0.0,1055.0,775.0,7,37.43
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,28,35.1
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,45.94
322.0,0.0,0.0,203.0,0.0,974.0,800.0,180,42.14
133.0,200.0,0.0,192.0,0.0,927.4,839.2,3,6.94
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,270,65.2
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,23.51
239.6,24.0,78.3,162.6,2.5,967.0,712.6,7,23.52
331.0,0.0,0.0,192.0,0.0,978.0,825.0,28,24.48
342.0,38.0,0.0,228.0,0.0,932.0,670.0,3,13.18
540.0,0.0,0.0,182.0,0.0,1100.0,820.0,90,33.8
252.0,0.0,0.0,186.0,0.0,1111.0,784.0,28,26.86
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90,38.7
516.0,0.0,0.0,162.0,7.0,932.0,617.0,28,26.32
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,100,45.3
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90,52.3
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90,25.37
212.0,0.0,100.4,159.0,8.7,1007.3,903.6,3,18.03
238.2,0.0,0.0,185.7,0.0,1118.8,789.3,28,19.01
540.0,0.0,0.0,173.0,0.0,1125.0,594.0,7,18.13
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,17.84
148.0,175.0,0.0,171.0,2.0,1000.0,828.0,7,17.96
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3,13.62
213.8,98.1,24.5,181.7,6.9,1065.8,785.6,100,39.23
203.5,166.8,0.0,203.5,0.0,977.6,694.1,7,28.99
133.1,200.9,0.0,203.5,0.0,965.4,692.6,7,15.09
